Season,Week,Name,Industry,Age,Judge_Score_Sum,Num_Judges,Max_Possible_Score,Is_Eliminated,System_Type,Final_Placement,Week_Total_Judge_Score,Judge_Share_Pct,Judge_Rank_In_Week,Estimated_Fan_Share,Estimated_Fan_Rank
1,4,Joey McIntyre,Singer/Rapper,32,20.0,3,30,0,Rank,3,92.0,0.217391304,4,0.3,2
1,5,John O'Hurley,Actor/Actress,50,27.0,3,30,0,Rank,2,73.0,0.369863014,1,0.5,1
1,5,Kelly Monaco,Actor/Actress,29,23.5,3,30,0,Rank,1,73.0,0.321917808,2,0.333333333,2
1,5,Joey McIntyre,Singer/Rapper,32,22.5,3,30,0,Rank,3,73.0,0.308219178,3,0.166666667,3
1,6,John O'Hurley,Actor/Actress,50,27.0,3,30,0,Rank,2,54.5,0.495412844,2,0.333333333,2
1,6,Kelly Monaco,Actor/Actress,29,27.5,3,30,0,Rank,1,54.5,0.504587156,1,0.666666667,1
2,1,Tatum O'Neal,Actor/Actress,42,23.0,3,30,0,Rank,9,195.0,0.117948718,2,0.181818182,1
2,1,Tia Carrere,Actor/Actress,39,20.0,3,30,0,Rank,6,195.0,0.102564103,6,0.127272727,4
2,1,George Hamilton,Actor/Actress,66,18.0,3,30,0,Rank,5,195.0,0.092307692,8,0.036363636,9
2,1,Lisa Rinna,Actor/Actress,42,19.0,3,30,0,Rank,4,195.0,0.097435897,7,0.163636364,2
2,1,Stacy Keibler,Athlete,26,22.0,3,30,0,Rank,3,195.0,0.112820513,4,0.090909091,6
2,1,Jerry Rice,Athlete,43,21.0,3,30,0,Rank,2,195.0,0.107692308,5,0.109090909,5
2,1,Giselle Fernandez,News Anchor,44,23.0,3,30,0,Rank,8,195.0,0.117948718,2,0.072727273,7
2,1,Master P,Singer/Rapper,35,12.0,3,30,0,Rank,7,195.0,0.061538462,10,0.145454545,3
2,1,Drew Lachey,Singer/Rapper,29,24.0,3,30,0,Rank,1,195.0,0.123076923,1,0.054545455,8
2,1,Kenny Mayne,Sports Broadcaster,46,13.0,3,30,1,Rank,10,195.0,0.066666667,9,0.018181818,10
2,2,Tatum O'Neal,Actor/Actress,42,17.0,3,30,1,Rank,9,200.0,0.085,8,0.066666667,7
2,2,Tia Carrere,Actor/Actress,39,22.0,3,30,0,Rank,6,200.0,0.11,5,0.111111111,5
2,2,George Hamilton,Actor/Actress,66,22.0,3,30,0,Rank,5,200.0,0.11,5,0.022222222,9
2,2,Lisa Rinna,Actor/Actress,42,20.0,3,30,0,Rank,4,200.0,0.1,7,0.155555556,3
2,2,Stacy Keibler,Athlete,26,29.0,3,30,0,Rank,3,200.0,0.145,1,0.2,1
2,2,Jerry Rice,Athlete,43,23.0,3,30,0,Rank,2,200.0,0.115,4,0.133333333,4
2,2,Giselle Fernandez,News Anchor,44,24.0,3,30,0,Rank,8,200.0,0.12,3,0.044444444,8
2,2,Master P,Singer/Rapper,35,16.0,3,30,0,Rank,7,200.0,0.08,9,0.088888889,6
2,2,Drew Lachey,Singer/Rapper,29,27.0,3,30,0,Rank,1,200.0,0.135,2,0.177777778,2
2,3,Tia Carrere,Actor/Actress,39,26.0,3,30,0,Rank,6,182.0,0.142857143,3,0.055555556,7
2,3,George Hamilton,Actor/Actress,66,22.0,3,30,0,Rank,5,182.0,0.120879121,5,0.138888889,4
2,3,Lisa Rinna,Actor/Actress,42,25.0,3,30,0,Rank,4,182.0,0.137362637,4,0.166666667,3
2,3,Stacy Keibler,Athlete,26,27.0,3,30,0,Rank,3,182.0,0.148351648,1,0.111111111,5
2,3,Jerry Rice,Athlete,43,19.0,3,30,0,Rank,2,182.0,0.104395604,7,0.194444444,2
2,3,Giselle Fernandez,News Anchor,44,22.0,3,30,1,Rank,8,182.0,0.120879121,5,0.083333333,6
2,3,Master P,Singer/Rapper,35,14.0,3,30,0,Rank,7,182.0,0.076923077,8,0.222222222,1
2,3,Drew Lachey,Singer/Rapper,29,27.0,3,30,0,Rank,1,182.0,0.148351648,1,0.027777778,8
2,4,Tia Carrere,Actor/Actress,39,25.0,3,30,0,Rank,6,158.0,0.158227848,4,0.142857143,4
2,4,George Hamilton,Actor/Actress,66,21.0,3,30,0,Rank,5,158.0,0.132911392,6,0.071428571,6
2,4,Lisa Rinna,Actor/Actress,42,26.0,3,30,0,Rank,4,158.0,0.164556962,2,0.214285714,2
2,4,Stacy Keibler,Athlete,26,26.0,3,30,0,Rank,3,158.0,0.164556962,2,0.178571429,3
2,4,Jerry Rice,Athlete,43,24.0,3,30,0,Rank,2,158.0,0.151898734,5,0.107142857,5
2,4,Master P,Singer/Rapper,35,8.0,3,30,1,Rank,7,158.0,0.050632911,7,0.035714286,7
2,4,Drew Lachey,Singer/Rapper,29,28.0,3,30,0,Rank,1,158.0,0.17721519,1,0.25,1
2,5,Tia Carrere,Actor/Actress,39,22.0,3,30,1,Rank,6,151.0,0.145695364,6,0.047619048,6
2,5,George Hamilton,Actor/Actress,66,24.0,3,30,0,Rank,5,151.0,0.158940397,4,0.142857143,4
2,5,Lisa Rinna,Actor/Actress,42,25.0,3,30,0,Rank,4,151.0,0.165562914,3,0.19047619,3
2,5,Stacy Keibler,Athlete,26,30.0,3,30,0,Rank,3,151.0,0.198675497,1,0.285714286,1
2,5,Jerry Rice,Athlete,43,23.0,3,30,0,Rank,2,151.0,0.152317881,5,0.095238095,5
2,5,Drew Lachey,Singer/Rapper,29,27.0,3,30,0,Rank,1,151.0,0.178807947,2,0.238095238,2
2,6,George Hamilton,Actor/Actress,66,23.0,3,30,1,Rank,5,133.0,0.172932331,4,0.133333333,4
2,6,Lisa Rinna,Actor/Actress,42,27.0,3,30,0,Rank,4,133.0,0.203007519,3,0.266666667,2
2,6,Stacy Keibler,Athlete,26,30.0,3,30,0,Rank,3,133.0,0.22556391,1,0.066666667,5
2,6,Jerry Rice,Athlete,43,23.0,3,30,0,Rank,2,133.0,0.172932331,4,0.333333333,1
2,6,Drew Lachey,Singer/Rapper,29,30.0,3,30,0,Rank,1,133.0,0.22556391,1,0.2,3
2,7,Lisa Rinna,Actor/Actress,42,26.5,3,30,1,Rank,4,102.0,0.259803922,3,0.2,3
2,7,Stacy Keibler,Athlete,26,27.5,3,30,0,Rank,3,102.0,0.269607843,1,0.1,4
2,7,Jerry Rice,Athlete,43,20.5,3,30,0,Rank,2,102.0,0.200980392,4,0.4,1
2,7,Drew Lachey,Singer/Rapper,29,27.5,3,30,0,Rank,1,102.0,0.269607843,1,0.3,2
2,8,Stacy Keibler,Athlete,26,28.6665,3,30,0,Rank,3,84.3329,0.339920719,2,0.166666667,3
2,8,Jerry Rice,Athlete,43,26.6666,3,30,0,Rank,2,84.3329,0.316206368,3,0.333333333,2
2,8,Drew Lachey,Singer/Rapper,29,28.9998,3,30,0,Rank,1,84.3329,0.343872913,1,0.5,1
3,1,Harry Hamlin,Actor/Actress,54,17.0,3,30,0,Percent,9,212.0,0.080188679,8,0.080188679,8
3,1,Vivica A. Fox,Actor/Actress,42,22.0,3,30,0,Percent,8,212.0,0.103773585,3,0.103773585,3
3,1,Monique Coleman,Actor/Actress,25,19.0,3,30,0,Percent,4,212.0,0.089622642,6,0.089622642,6
3,1,Joey Lawrence,Actor/Actress,30,21.0,3,30,0,Percent,3,212.0,0.099056604,5,0.099056604,5
3,1,Mario Lopez,Actor/Actress,32,26.0,3,30,0,Percent,2,212.0,0.122641509,1,0.122641509,1
3,1,Emmitt Smith,Athlete,37,24.0,3,30,0,Percent,1,212.0,0.113207547,2,0.113207547,2
3,1,Shanna Moakler,Model,31,18.0,3,30,0,Percent,10,212.0,0.08490566,7,0.08490566,7
3,1,Willa Ford,Singer/Rapper,25,22.0,3,30,0,Percent,7,212.0,0.103773585,3,0.103773585,4
3,1,Sara Evans,Singer/Rapper,35,15.0,3,30,0,Percent,6,212.0,0.070754717,10,0.070754717,10
3,1,Jerry Springer,TV Personality,62,16.0,3,30,0,Percent,5,212.0,0.075471698,9,0.075471698,9
3,1,Tucker Carlson,TV Personality,37,12.0,3,30,1,Percent,11,212.0,0.056603774,11,0.056603774,11
3,2,Harry Hamlin,Actor/Actress,54,21.0,3,30,0,Percent,9,230.0,0.091304348,7,0.091304348,7
3,2,Vivica A. Fox,Actor/Actress,42,24.0,3,30,0,Percent,8,230.0,0.104347826,3,0.104347826,3
3,2,Monique Coleman,Actor/Actress,25,26.0,3,30,0,Percent,4,230.0,0.113043478,2,0.113043478,2
3,2,Joey Lawrence,Actor/Actress,30,29.0,3,30,0,Percent,3,230.0,0.126086957,1,0.126086957,1
3,2,Mario Lopez,Actor/Actress,32,21.0,3,30,0,Percent,2,230.0,0.091304348,7,0.091304348,8
3,2,Emmitt Smith,Athlete,37,24.0,3,30,0,Percent,1,230.0,0.104347826,3,0.104347826,4
3,2,Shanna Moakler,Model,31,22.0,3,30,1,Percent,10,230.0,0.095652174,6,0.082558696,10
3,2,Willa Ford,Singer/Rapper,25,23.0,3,30,0,Percent,7,230.0,0.1,5,0.1,5
3,2,Sara Evans,Singer/Rapper,35,21.0,3,30,0,Percent,6,230.0,0.091304348,7,0.091304348,9
3,2,Jerry Springer,TV Personality,62,19.0,3,30,0,Percent,5,230.0,0.082608696,10,0.095702174,6
3,3,Harry Hamlin,Actor/Actress,54,22.0,3,30,1,Percent,9,207.0,0.106280193,4,0.09173744,9
3,3,Vivica A. Fox,Actor/Actress,42,27.0,3,30,0,Percent,8,207.0,0.130434783,1,0.130434783,1
3,3,Monique Coleman,Actor/Actress,25,27.0,3,30,0,Percent,4,207.0,0.130434783,1,0.130434783,2
3,3,Joey Lawrence,Actor/Actress,30,22.0,3,30,0,Percent,3,207.0,0.106280193,4,0.106280193,5
3,3,Mario Lopez,Actor/Actress,32,22.0,3,30,0,Percent,2,207.0,0.106280193,4,0.106280193,6
3,3,Emmitt Smith,Athlete,37,19.0,3,30,0,Percent,1,207.0,0.09178744,9,0.106330193,4
3,3,Willa Ford,Singer/Rapper,25,22.0,3,30,0,Percent,7,207.0,0.106280193,4,0.106280193,7
3,3,Sara Evans,Singer/Rapper,35,25.0,3,30,0,Percent,6,207.0,0.120772947,3,0.120772947,3
3,3,Jerry Springer,TV Personality,62,21.0,3,30,0,Percent,5,207.0,0.101449275,8,0.101449275,8
3,4,Vivica A. Fox,Actor/Actress,42,24.0,3,30,1,Percent,8,198.0,0.121212121,4,0.100943434,8
3,4,Monique Coleman,Actor/Actress,25,24.0,3,30,0,Percent,4,198.0,0.121212121,4,0.121212121,5
3,4,Joey Lawrence,Actor/Actress,30,27.0,3,30,0,Percent,3,198.0,0.136363636,3,0.136363636,3
3,4,Mario Lopez,Actor/Actress,32,29.0,3,30,0,Percent,2,198.0,0.146464646,1,0.146464646,1
3,4,Emmitt Smith,Athlete,37,24.0,3,30,0,Percent,1,198.0,0.121212121,4,0.121212121,6
3,4,Willa Ford,Singer/Rapper,25,28.0,3,30,0,Percent,7,198.0,0.141414141,2,0.141414141,2
3,4,Sara Evans,Singer/Rapper,35,20.0,3,30,0,Percent,6,198.0,0.101010101,8,0.121245455,4
3,4,Jerry Springer,TV Personality,62,22.0,3,30,0,Percent,5,198.0,0.111111111,7,0.111144444,7
3,5,Monique Coleman,Actor/Actress,25,27.0,3,30,0,Percent,4,181.0,0.149171271,1,0.149171271,1
3,5,Joey Lawrence,Actor/Actress,30,25.0,3,30,0,Percent,3,181.0,0.138121547,5,0.138146547,6
3,5,Mario Lopez,Actor/Actress,32,27.0,3,30,0,Percent,2,181.0,0.149171271,1,0.149171271,2
3,5,Emmitt Smith,Athlete,37,27.0,3,30,0,Percent,1,181.0,0.149171271,1,0.149171271,3
3,5,Willa Ford,Singer/Rapper,25,27.0,3,30,1,Percent,7,181.0,0.149171271,1,0.126996823,7
3,5,Sara Evans,Singer/Rapper,35,24.0,3,30,0,Percent,6,181.0,0.132596685,6,0.143671409,4
3,5,Jerry Springer,TV Personality,62,24.0,3,30,0,Percent,5,181.0,0.132596685,6,0.143671409,5
3,6,Monique Coleman,Actor/Actress,25,23.0,3,30,0,Percent,4,118.0,0.194915254,4,0.194915254,4
3,6,Joey Lawrence,Actor/Actress,30,24.0,3,30,0,Percent,3,118.0,0.203389831,3,0.203389831,3
3,6,Mario Lopez,Actor/Actress,32,28.0,3,30,0,Percent,2,118.0,0.237288136,1,0.237288136,1
3,6,Emmitt Smith,Athlete,37,25.0,3,30,0,Percent,1,118.0,0.211864407,2,0.211864407,2
3,6,Jerry Springer,TV Personality,62,18.0,3,30,0,Percent,5,118.0,0.152542373,5,0.152542373,5
3,7,Monique Coleman,Actor/Actress,25,27.0,3,30,0,Percent,4,135.0,0.2,4,0.2,4
3,7,Joey Lawrence,Actor/Actress,30,28.5,3,30,0,Percent,3,135.0,0.211111111,1,0.211111111,1
3,7,Mario Lopez,Actor/Actress,32,28.0,3,30,0,Percent,2,135.0,0.207407407,3,0.207407407,3
3,7,Emmitt Smith,Athlete,37,28.5,3,30,0,Percent,1,135.0,0.211111111,1,0.211111111,2
3,7,Jerry Springer,TV Personality,62,23.0,3,30,1,Percent,5,135.0,0.17037037,5,0.17037037,5
3,8,Monique Coleman,Actor/Actress,25,26.5,3,30,1,Percent,4,109.0,0.243119266,4,0.243119266,4
3,8,Joey Lawrence,Actor/Actress,30,27.0,3,30,0,Percent,3,109.0,0.247706422,2,0.247706422,2
3,8,Mario Lopez,Actor/Actress,32,28.5,3,30,0,Percent,2,109.0,0.26146789,1,0.26146789,1
3,8,Emmitt Smith,Athlete,37,27.0,3,30,0,Percent,1,109.0,0.247706422,2,0.247706422,3
3,9,Joey Lawrence,Actor/Actress,30,29.5,3,30,0,Percent,3,88.5,0.333333333,1,0.333333333,1
3,9,Mario Lopez,Actor/Actress,32,29.5,3,30,0,Percent,2,88.5,0.333333333,1,0.333333333,2
3,9,Emmitt Smith,Athlete,37,29.5,3,30,0,Percent,1,88.5,0.333333333,1,0.333333333,3
3,10,Mario Lopez,Actor/Actress,32,29.6666,3,30,0,Percent,2,59.3332,0.5,1,0.4995,2
3,10,Emmitt Smith,Athlete,37,29.6666,3,30,0,Percent,1,59.3332,0.5,1,0.5005,1
4,1,John Ratzenberger,Actor/Actress,59,17.0,3,30,0,Percent,6,206.0,0.082524272,8,0.082524272,8
4,1,Ian Ziering,Actor/Actress,42,21.0,3,30,0,Percent,4,206.0,0.101941748,3,0.101941748,3
4,1,Clyde Drexler,Athlete,44,16.0,3,30,0,Percent,8,206.0,0.077669903,9,0.077669903,9
4,1,Laila Ali,Athlete,29,23.0,3,30,0,Percent,3,206.0,0.111650485,2,0.111650485,2
4,1,Apolo Anton Ohno,Athlete,24,21.0,3,30,0,Percent,1,206.0,0.101941748,3,0.101941748,4
4,1,Shandi Finnessey,Beauty Pagent,28,19.0,3,30,0,Percent,10,206.0,0.09223301,5,0.09223301,5
4,1,Paulina Porizkova,Model,41,19.0,3,30,0,Percent,11,206.0,0.09223301,5,0.09223301,6
4,1,Heather Mills,Model,39,18.0,3,30,0,Percent,7,206.0,0.087378641,7,0.087378641,7
4,1,Billy Ray Cyrus,Singer/Rapper,45,13.0,3,30,0,Percent,5,206.0,0.063106796,11,0.063106796,11
4,1,Joey Fatone,Singer/Rapper,30,24.0,3,30,0,Percent,2,206.0,0.116504854,1,0.116504854,1
4,1,Leeza Gibbons,TV Personality,50,15.0,3,30,0,Percent,9,206.0,0.072815534,10,0.072815534,10
4,2,John Ratzenberger,Actor/Actress,59,21.0,3,30,0,Percent,6,245.0,0.085714286,6,0.085714286,7
4,2,Ian Ziering,Actor/Actress,42,22.0,3,30,0,Percent,4,245.0,0.089795918,5,0.089795918,5
4,2,Clyde Drexler,Athlete,44,18.0,3,30,0,Percent,8,245.0,0.073469388,11,0.085764286,6
4,2,Laila Ali,Athlete,29,27.0,3,30,0,Percent,3,245.0,0.110204082,1,0.110204082,1
4,2,Apolo Anton Ohno,Athlete,24,26.0,3,30,0,Percent,1,245.0,0.106122449,2,0.106122449,2
4,2,Shandi Finnessey,Beauty Pagent,28,20.0,3,30,0,Percent,10,245.0,0.081632653,10,0.081632653,10
4,2,Paulina Porizkova,Model,41,21.0,3,30,1,Percent,11,245.0,0.085714286,6,0.073419388,11
4,2,Heather Mills,Model,39,24.0,3,30,0,Percent,7,245.0,0.097959184,3,0.097959184,3
4,2,Billy Ray Cyrus,Singer/Rapper,45,21.0,3,30,0,Percent,5,245.0,0.085714286,6,0.085714286,8
4,2,Joey Fatone,Singer/Rapper,30,24.0,3,30,0,Percent,2,245.0,0.097959184,3,0.097959184,4
4,2,Leeza Gibbons,TV Personality,50,21.0,3,30,0,Percent,9,245.0,0.085714286,6,0.085714286,9
4,3,John Ratzenberger,Actor/Actress,59,20.0,3,30,0,Percent,6,218.0,0.091743119,9,0.091743119,9
4,3,Ian Ziering,Actor/Actress,42,24.0,3,30,0,Percent,4,218.0,0.110091743,1,0.110091743,1
4,3,Clyde Drexler,Athlete,44,16.0,3,30,0,Percent,8,218.0,0.073394495,10,0.096380275,6
4,3,Laila Ali,Athlete,29,21.0,3,30,0,Percent,3,218.0,0.096330275,6,0.096330275,7
4,3,Apolo Anton Ohno,Athlete,24,23.0,3,30,0,Percent,1,218.0,0.105504587,5,0.105504587,5
4,3,Shandi Finnessey,Beauty Pagent,28,21.0,3,30,1,Percent,10,218.0,0.096330275,6,0.073344495,10
4,3,Heather Mills,Model,39,24.0,3,30,0,Percent,7,218.0,0.110091743,1,0.110091743,2
4,3,Billy Ray Cyrus,Singer/Rapper,45,21.0,3,30,0,Percent,5,218.0,0.096330275,6,0.096330275,8
4,3,Joey Fatone,Singer/Rapper,30,24.0,3,30,0,Percent,2,218.0,0.110091743,1,0.110091743,3
4,3,Leeza Gibbons,TV Personality,50,24.0,3,30,0,Percent,9,218.0,0.110091743,1,0.110091743,4
4,4,John Ratzenberger,Actor/Actress,59,16.0,3,30,0,Percent,6,190.0,0.084210526,7,0.084210526,8
4,4,Ian Ziering,Actor/Actress,42,24.0,3,30,0,Percent,4,190.0,0.126315789,3,0.126315789,3
4,4,Clyde Drexler,Athlete,44,15.0,3,30,0,Percent,8,190.0,0.078947368,9,0.084260526,7
4,4,Laila Ali,Athlete,29,21.0,3,30,0,Percent,3,190.0,0.110526316,5,0.110526316,5
4,4,Apolo Anton Ohno,Athlete,24,26.0,3,30,0,Percent,1,190.0,0.136842105,2,0.136842105,2
4,4,Heather Mills,Model,39,23.0,3,30,0,Percent,7,190.0,0.121052632,4,0.121052632,4
4,4,Billy Ray Cyrus,Singer/Rapper,45,21.0,3,30,0,Percent,5,190.0,0.110526316,5,0.110526316,6
4,4,Joey Fatone,Singer/Rapper,30,28.0,3,30,0,Percent,2,190.0,0.147368421,1,0.147368421,1
4,4,Leeza Gibbons,TV Personality,50,16.0,3,30,1,Percent,9,190.0,0.084210526,7,0.078897368,9
4,5,John Ratzenberger,Actor/Actress,59,18.0,3,30,0,Percent,6,176.0,0.102272727,6,0.102272727,6
4,5,Ian Ziering,Actor/Actress,42,24.0,3,30,0,Percent,4,176.0,0.136363636,4,0.136363636,4
4,5,Clyde Drexler,Athlete,44,13.0,3,30,1,Percent,8,176.0,0.073863636,8,0.073863636,8
4,5,Laila Ali,Athlete,29,28.0,3,30,0,Percent,3,176.0,0.159090909,2,0.159090909,2
4,5,Apolo Anton Ohno,Athlete,24,30.0,3,30,0,Percent,1,176.0,0.170454545,1,0.170454545,1
4,5,Heather Mills,Model,39,21.0,3,30,0,Percent,7,176.0,0.119318182,5,0.119318182,5
4,5,Billy Ray Cyrus,Singer/Rapper,45,17.0,3,30,0,Percent,5,176.0,0.096590909,7,0.096590909,7
4,5,Joey Fatone,Singer/Rapper,30,25.0,3,30,0,Percent,2,176.0,0.142045455,3,0.142045455,3
4,6,John Ratzenberger,Actor/Actress,59,19.0,3,30,0,Percent,6,170.0,0.111764706,7,0.135327451,5
4,6,Ian Ziering,Actor/Actress,42,24.0,3,30,0,Percent,4,170.0,0.141176471,4,0.141176471,4
4,6,Laila Ali,Athlete,29,28.0,3,30,0,Percent,3,170.0,0.164705882,1,0.164705882,1
4,6,Apolo Anton Ohno,Athlete,24,28.0,3,30,0,Percent,1,170.0,0.164705882,1,0.164705882,2
4,6,Heather Mills,Model,39,23.0,3,30,1,Percent,7,170.0,0.135294118,5,0.111698039,7
4,6,Billy Ray Cyrus,Singer/Rapper,45,21.0,3,30,0,Percent,5,170.0,0.123529412,6,0.123562745,6
4,6,Joey Fatone,Singer/Rapper,30,27.0,3,30,0,Percent,2,170.0,0.158823529,3,0.158823529,3
4,7,John Ratzenberger,Actor/Actress,59,22.5,3,30,1,Percent,6,154.5,0.145631068,5,0.122927346,6
4,7,Ian Ziering,Actor/Actress,42,27.0,3,30,0,Percent,4,154.5,0.174757282,3,0.174757282,3
4,7,Laila Ali,Athlete,29,29.5,3,30,0,Percent,3,154.5,0.190938511,1,0.190938511,1
4,7,Apolo Anton Ohno,Athlete,24,27.0,3,30,0,Percent,1,154.5,0.174757282,3,0.174757282,4
4,7,Billy Ray Cyrus,Singer/Rapper,45,19.0,3,30,0,Percent,5,154.5,0.122977346,6,0.145681068,5
4,7,Joey Fatone,Singer/Rapper,30,29.5,3,30,0,Percent,2,154.5,0.190938511,1,0.190938511,2
4,8,Ian Ziering,Actor/Actress,42,23.5,3,30,0,Percent,4,125.5,0.187250996,4,0.187250996,4
4,8,Laila Ali,Athlete,29,26.5,3,30,0,Percent,3,125.5,0.211155378,3,0.211155378,3
4,8,Apolo Anton Ohno,Athlete,24,29.0,3,30,0,Percent,1,125.5,0.231075697,1,0.231075697,1
4,8,Billy Ray Cyrus,Singer/Rapper,45,19.0,3,30,1,Percent,5,125.5,0.151394422,5,0.151394422,5
4,8,Joey Fatone,Singer/Rapper,30,27.5,3,30,0,Percent,2,125.5,0.219123506,2,0.219123506,2
4,9,Ian Ziering,Actor/Actress,42,29.0,3,30,1,Percent,4,118.5,0.244725738,4,0.244725738,4
4,9,Laila Ali,Athlete,29,30.0,3,30,0,Percent,3,118.5,0.253164557,1,0.253164557,1
4,9,Apolo Anton Ohno,Athlete,24,29.5,3,30,0,Percent,1,118.5,0.248945148,3,0.248945148,3
4,9,Joey Fatone,Singer/Rapper,30,30.0,3,30,0,Percent,2,118.5,0.253164557,1,0.253164557,2
4,10,Laila Ali,Athlete,29,28.3332,3,30,0,Percent,3,86.3329,0.328185431,3,0.333333333,1
4,10,Apolo Anton Ohno,Athlete,24,29.3332,3,30,0,Percent,1,86.3329,0.339768501,1,0.333333333,1
4,10,Joey Fatone,Singer/Rapper,30,28.6665,3,30,0,Percent,2,86.3329,0.332046068,2,0.333333333,1
5,1,Cameron Mathison,Actor/Actress,38,21.0,3,30,0,Percent,5,257.0,0.081712062,5,0.081712062,5
5,1,Jane Seymour,Actor/Actress,56,24.0,3,30,0,Percent,6,257.0,0.093385214,3,0.093385214,3
5,1,Sabrina Bryan,Actor/Actress,23,26.0,3,30,0,Percent,7,257.0,0.101167315,1,0.101167315,1
5,1,Jennie Garth,Actor/Actress,35,21.0,3,30,0,Percent,4,257.0,0.081712062,5,0.081712062,6
5,1,Floyd Mayweather Jr.,Athlete,30,18.0,3,30,0,Percent,9,257.0,0.070038911,11,0.070038911,11
5,1,Josie Maran,Model,29,16.0,3,30,1,Percent,12,257.0,0.062256809,12,0.062256809,12
5,1,Albert Reed,Model,22,21.0,3,30,0,Percent,11,257.0,0.081712062,5,0.081712062,7
5,1,Helio Castroneves,Racing Driver,32,25.0,3,30,0,Percent,1,257.0,0.097276265,2,0.097276265,2
5,1,Mel B,Singer/Rapper,32,24.0,3,30,0,Percent,2,257.0,0.093385214,3,0.093385214,4
5,1,Wayne Newton,Singer/Rapper,65,19.0,3,30,0,Percent,10,257.0,0.073929961,10,0.073929961,10
5,1,Marie Osmond,Singer/Rapper,47,21.0,3,30,0,Percent,3,257.0,0.081712062,5,0.081712062,8
5,1,Mark Cuban,TV Personality,49,21.0,3,30,0,Percent,8,257.0,0.081712062,5,0.081712062,9
5,2,Cameron Mathison,Actor/Actress,38,21.0,3,30,0,Percent,5,238.0,0.088235294,5,0.088235294,6
5,2,Jane Seymour,Actor/Actress,56,21.0,3,30,0,Percent,6,238.0,0.088235294,5,0.088235294,7
5,2,Sabrina Bryan,Actor/Actress,23,26.0,3,30,0,Percent,7,238.0,0.109243697,2,0.109243697,2
5,2,Jennie Garth,Actor/Actress,35,21.0,3,30,0,Percent,4,238.0,0.088235294,5,0.088235294,8
5,2,Floyd Mayweather Jr.,Athlete,30,21.0,3,30,0,Percent,9,238.0,0.088235294,5,0.088235294,9
5,2,Albert Reed,Model,22,21.0,3,30,1,Percent,11,238.0,0.088235294,5,0.062958543,11
5,2,Helio Castroneves,Racing Driver,32,27.0,3,30,0,Percent,1,238.0,0.113445378,1,0.113445378,1
5,2,Mel B,Singer/Rapper,32,23.0,3,30,0,Percent,2,238.0,0.096638655,4,0.096638655,4
5,2,Wayne Newton,Singer/Rapper,65,15.0,3,30,0,Percent,10,238.0,0.06302521,11,0.088268627,5
5,2,Marie Osmond,Singer/Rapper,47,24.0,3,30,0,Percent,3,238.0,0.100840336,3,0.100840336,3
5,2,Mark Cuban,TV Personality,49,18.0,3,30,0,Percent,8,238.0,0.075630252,10,0.075663585,10
